index,plant,county,distance,cost,fpfactor,adjusted_cost
144.0_79,9189,48155,686.1232668024276,113.7302356858887,1.071313634,115.757864786498
144.0_16,9189,48031,349.5563282099831,60.95647650276327,0.995556719,60.88876481429536
144.0_111,9189,48219,845.7535327711337,138.76029137050807,0.862520187,133.99110664314733
144.0_150,9189,48299,390.81027071902014,67.42510244,1.024011756,67.82985121701608
144.0_219,9189,48437,859.9671119047132,140.98898324815605,0.949363479,139.20418534540258
144.0_225,9189,48449,425.4318348403573,72.85377019285387,1.001099908,72.8738033040202
144.0_175,9189,48349,330.63865561524653,57.990181886913405,1.040641322,58.579381300639554
144.0_20,9189,48039,55.15602834085807,14.79445419092026,0.942342106,14.581199923038275
144.0_109,9189,48215,460.1155244,78.29217922442487,0.967471229,77.65549213215431
144.0_5,9189,48009,589.9169873,98.64507299,1.002578092,98.70865200837873
144.0_196,9189,48391,247.41819595811648,44.94119818,0.996665357,44.90373246701936
144.0_2,9189,48003,805.3330750340738,132.4223560058276,1.032511312,133.49866213879773
144.0_85,9189,48167,3.8371972096578473,6.747651831176425,0.961558494,6.682804356587905
144.0_62,9189,48123,238.2887933141746,43.50970613355023,1.005534459,43.56990680472478
144.0_90,9189,48177,248.92867398925995,45.17804142171733,0.979296699,44.944207774181265
144.0_241,9189,48481,126.06996165175131,25.91377225266558,0.969688505,25.71740095814863
144.0_75,9189,48147,480.5203370939506,81.49165769258425,0.942342106,80.31699835230343
144.0_154,9189,48313,200.4696326850392,37.57965464395115,1.008121281,37.65595337776277
144.0_171,9189,48341,969.0661689824032,158.09573588821857,0.919060713,154.8966968530854
144.0_229,9189,48457,163.25776284127105,31.74482646355508,1.002208546,31.762353940931774
144.0_148,9189,48295,913.7704971,149.4253641467552,1.023272664,150.29474571997144
144.0_26,9189,48051,204.72427032890732,38.24678262558825,0.981144428,38.066491384696974
144.0_125,9189,48247,451.438551536824,76.93162825527354,1.058379527,78.05443627249421
144.0_224,9189,48447,586.1487053877833,98.05420568,1.071313634,99.80235611400606
144.0_137,9189,48273,348.9734492563608,60.86508097336273,0.981144428,60.57816949421796
144.0_210,9189,48419,277.9087232360416,49.72211858645851,0.97560124,49.41882907693787
144.0_86,9189,48169,738.2768295884667,121.9079241258852,1.00368673,122.02028452616337
144.0_129,9189,48255,289.9428244737984,51.60906792070599,1.005904005,51.685242969468284
144.0_195,9189,48389,869.4481976315326,142.4756192707977,1.053944975,144.3970802007159
144.0_114,9189,48225,220.06255984296652,40.65182930213128,1.018099021,40.835768880188205
144.0_72,9189,48141,1115.8302175287458,181.10836626456145,1.065400899,184.06952875709234
144.0_33,9189,48065,900.5027087128483,147.3449724408058,0.924234356,144.55405075902084
144.0_163,9189,48325,405.92283673169374,69.79475562536132,0.9656235,69.19493077117251
144.0_243,9189,48485,623.3043829908111,103.88022290598992,0.920169351,101.80701650277747
144.0_36,9189,48071,50.54866514784506,14.072018776930603,0.982622612,14.0108850443731
144.0_65,9189,48129,831.3760795115676,136.50590399912764,0.906865698,133.3275584771682
144.0_113,9189,48223,422.3632884362469,72.37262154,1.046923603,73.22161758030305
144.0_141,9189,48281,376.9601915836848,65.25340742657643,0.920538897,63.9571304944204
144.0_74,9189,48145,283.5467077398087,50.606155615539045,0.97560124,50.297473754192495
144.0_215,9189,48429,526.7469783618312,88.74000372537733,1.000360816,88.74800842867337
144.0_227,9189,48453,295.26781518356626,52.44402746410298,1.002208546,52.472983725872915
144.0_197,9189,48393,904.1036927711726,147.90960741746463,1.281954811,158.33556376858348
144.0_54,9189,48107,765.7747505955368,126.21960330427582,0.973014418,125.36807594053207
144.0_133,9189,48265,434.3623369163664,74.25407459564137,1.014773108,74.52831546150173
144.0_250,9189,48499,380.2197081,65.76450022800783,0.970058051,65.27222090004847
144.0_120,9189,48237,527.1381603890945,88.80134114072152,1.010338556,89.03086055028612
144.0_155,9189,48315,382.95314058706776,66.19310295586389,0.938277101,65.17169540380355
144.0_96,9189,48189,835.0449198,137.0811788476965,0.854759722,132.1037517165947
144.0_123,9189,48243,900.3223805825396,147.31669695610532,1.215436544,155.251046972535
